schema_version,comparison_id,family_id,metric,direction,first_false_second_false,first_false_second_true,first_true_second_false,first_true_second_true,n_pairs,excluded_pairs,k5_rate,k10_rate,risk_difference,risk_difference_ci_low,risk_difference_ci_high,mcnemar_statistic,p_raw,p_holm,reject_holm,bootstrap_replicates,valid_replicates,seed,status
phase06-paired-binary-v1,C_fully_supported_response_k10_minus_k5,C_paired_k5_k10_binary,fully_supported_response,k10_minus_k5,38,10,9,32,89,0,0.4606741573033708,0.47191011235955055,0.011235955056179775,-0.0898876404494382,0.11235955056179775,9.0,1.0,1.0,False,5000,5000,42,ok
phase06-paired-binary-v1,C_response_contains_unsupported_claim_k10_minus_k5,C_paired_k5_k10_binary,response_contains_unsupported_claim,k10_minus_k5,32,9,10,38,89,0,0.5393258426966292,0.5280898876404494,-0.011235955056179775,-0.11235955056179775,0.0898876404494382,9.0,1.0,1.0,False,5000,5000,42,ok
