threshold,mean_f1,mean_precision,fold_f1_json,fold_precision_json,selected
0,0.62692152903905551,0.45696778711484598,"[0.6122448979591837,0.6578947368421053,0.593103448275862,0.64,0.6313645621181263]","[0.4411764705882353,0.49019607843137253,0.4215686274509804,0.47058823529411764,0.46130952380952384]",False
0.01,0.62692152903905551,0.45696778711484598,"[0.6122448979591837,0.6578947368421053,0.593103448275862,0.64,0.6313645621181263]","[0.4411764705882353,0.49019607843137253,0.4215686274509804,0.47058823529411764,0.46130952380952384]",False
0.02,0.62700339286904527,0.45705052874928187,"[0.6122448979591837,0.6578947368421053,0.5935127674258109,0.64,0.6313645621181263]","[0.4411764705882353,0.49019607843137253,0.42198233562315995,0.47058823529411764,0.46130952380952384]",False
0.029999999999999999,0.62708674819892396,0.45713711883183106,"[0.6126616746085772,0.6578947368421053,0.5935127674258109,0.64,0.6313645621181263]","[0.44160942100098133,0.49019607843137253,0.42198233562315995,0.47058823529411764,0.46130952380952384]",False
0.040000000000000001,0.62716872510050214,0.45722002302350556,"[0.6126616746085772,0.6578947368421053,0.5939226519337016,0.64,0.6313645621181263]","[0.44160942100098133,0.49019607843137253,0.4223968565815324,0.47058823529411764,0.46130952380952384]",False
0.050000000000000003,0.6272508153080949,0.45730309025193849,"[0.6126616746085772,0.6578947368421053,0.5943331029716655,0.64,0.6313645621181263]","[0.44160942100098133,0.49019607843137253,0.42281219272369713,0.47058823529411764,0.46130952380952384]",False
0.059999999999999998,0.6274764660806641,0.45763126940135662,"[0.6134969325153374,0.6578947368421053,0.5937716262975778,0.6408544726301736,0.6313645621181263]","[0.4424778761061947,0.49019607843137253,0.42266009852216746,0.4715127701375246,0.46130952380952384]",False
0.070000000000000007,0.6274764660806641,0.45763126940135662,"[0.6134969325153374,0.6578947368421053,0.5937716262975778,0.6408544726301736,0.6313645621181263]","[0.4424778761061947,0.49019607843137253,0.42266009852216746,0.4715127701375246,0.46130952380952384]",False
0.080000000000000002,0.62790607051382985,0.45809782792569759,"[0.6134969325153374,0.6583278472679395,0.5937716262975778,0.6421404682274248,0.6317934782608695]","[0.4424778761061947,0.49067713444553485,0.42266009852216746,0.4729064039408867,0.4617676266137041]",False
0.089999999999999997,0.62816246602158354,0.45837460551753068,"[0.6139154160982264,0.6587615283267457,0.5937716262975778,0.642570281124498,0.6317934782608695]","[0.44291338582677164,0.4911591355599214,0.42266009852216746,0.47337278106508873,0.4617676266137041]",False
0.10000000000000001,0.62867136130401735,0.45890980910335255,"[0.6139154160982264,0.6587615283267457,0.5945945945945946,0.642570281124498,0.6335149863760218]","[0.44291338582677164,0.4911591355599214,0.42349457058242845,0.47337278106508873,0.46360917248255235]",False
0.11,0.62884363215686567,0.45909691296938615,"[0.6139154160982264,0.6587615283267457,0.5945945945945946,0.6434316353887399,0.6335149863760218]","[0.44291338582677164,0.4911591355599214,0.42349457058242845,0.4743083003952569,0.46360917248255235]",False
0.12,0.62927321193499375,0.45955618158162953,"[0.6143344709897611,0.6587615283267457,0.5945945945945946,0.6438631790744467,0.6348122866894198]","[0.4433497536945813,0.4911591355599214,0.42349457058242845,0.47477744807121663,0.465]",False
0.13,0.62970408687522605,0.46001748214722482,"[0.6147540983606558,0.6587615283267457,0.5945945945945946,0.6442953020134228,0.6361149110807114]","[0.4437869822485207,0.4911591355599214,0.42349457058242845,0.4752475247524752,0.4663991975927783]",False
0.14000000000000001,0.63012656886270302,0.46046344672151368,"[0.6151742993848257,0.6591957811470006,0.5954198473282443,0.6447280053727333,0.6361149110807114]","[0.4442250740375123,0.4916420845624385,0.42433234421364985,0.4757185332011893,0.4663991975927783]",False
0.14999999999999999,0.63070539962411165,0.46126893781403888,"[0.6164383561643836,0.6596306068601583,0.5958333333333333,0.6455097906819717,0.6361149110807114]","[0.44554455445544555,0.4921259842519685,0.42475247524752474,0.4775224775224775,0.4663991975927783]",False
0.16,0.63153439823975677,0.46232893923125562,"[0.6185567010309279,0.6605019815059445,0.5970772442588727,0.6445497630331753,0.636986301369863]","[0.44776119402985076,0.4930966469428008,0.4260178748758689,0.477432296890672,0.46733668341708545]",False
0.17000000000000001,0.63221640622757369,0.46314772708876539,"[0.6189821182943603,0.6604897418927862,0.5983263598326359,0.6454237288135594,0.6378600823045267]","[0.448207171314741,0.49357072205736896,0.42729083665338646,0.47839195979899496,0.46827794561933533]",False
0.17999999999999999,0.6329508038985926,0.46411189057231522,"[0.6215469613259669,0.6613651424784626,0.5986013986013986,0.6453804347826086,0.6378600823045267]","[0.45090180360721444,0.49454905847373637,0.428,0.4788306451612903,0.46827794561933533]",False
0.19,0.63379183470078404,0.46519837404894843,"[0.6224066390041494,0.6626826029216467,0.6002805049088359,0.6444141689373297,0.6391752577319587]","[0.45180722891566266,0.4960238568588469,0.42971887550200805,0.47874493927125505,0.4696969696969697]",False
0.20000000000000001,0.6351749658499658,0.46695896332743192,"[0.6263048016701461,0.6613333333333333,0.601123595505618,0.6457337883959045,0.6413793103448275]","[0.45592705167173253,0.496,0.4305835010060362,0.48020304568527916,0.4720812182741117]",False
0.20999999999999999,0.6366526596323262,0.46864619406018881,"[0.6293706293706294,0.6622162883845126,0.6023926812104152,0.6470185058259081,0.6422651933701657]","[0.45918367346938777,0.4969939879759519,0.4318869828456105,0.4821246169560776,0.47304170905391657]",False
0.22,0.63785341667869533,0.47023059207109724,"[0.631578947368421,0.6635451505016723,0.6040931545518702,0.6460055096418733,0.6440443213296398]","[0.46153846153846156,0.4984924623115578,0.4336372847011145,0.4825102880658436,0.47497446373850866]",False
