candidate_order,family,T_cov,T_mean,T_min,T_contradiction,eligible_count,tn,fp,fn,tp,sample_accuracy,sample_precision,sample_recall,sample_f1,weighted_accuracy,weighted_precision,weighted_recall,weighted_f1,rescued_by_coverage,rescued_by_nli,rescue_mechanism_overlap,weighted_confusion_proportions_json,metrics_by_stratum_json
11,nli_only,,0.55,0.3,0.5,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
12,nli_only,,0.65,0.1,0.5,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
13,nli_only,,0.65,0.2,0.5,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
14,nli_only,,0.65,0.3,0.5,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
15,combined,0.5,0.45,0.1,0.5,120,42,0,25,53,0.7916666666666666,1.0,0.6794871794871795,0.8091603053435115,0.8351294498381876,1.0,0.7067688647570077,0.8281951696577619,22,4,3,"{""fn"":0.1648705501618123,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.3973840345199568}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":6,""fp"":0,""tn"":2,""tp"":22},""development_population_count"":1014,""f1"":0.88,""precision"":1.0,""recall"":0.7857142857142857,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
16,combined,0.5,0.45,0.2,0.5,120,42,0,25,53,0.7916666666666666,1.0,0.6794871794871795,0.8091603053435115,0.8351294498381876,1.0,0.7067688647570077,0.8281951696577619,22,4,3,"{""fn"":0.1648705501618123,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.3973840345199568}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":6,""fp"":0,""tn"":2,""tp"":22},""development_population_count"":1014,""f1"":0.88,""precision"":1.0,""recall"":0.7857142857142857,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
17,combined,0.5,0.45,0.3,0.5,120,42,0,25,53,0.7916666666666666,1.0,0.6794871794871795,0.8091603053435115,0.8351294498381876,1.0,0.7067688647570077,0.8281951696577619,22,4,3,"{""fn"":0.1648705501618123,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.3973840345199568}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":6,""fp"":0,""tn"":2,""tp"":22},""development_population_count"":1014,""f1"":0.88,""precision"":1.0,""recall"":0.7857142857142857,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
18,combined,0.5,0.55,0.1,0.5,120,42,0,25,53,0.7916666666666666,1.0,0.6794871794871795,0.8091603053435115,0.8351294498381876,1.0,0.7067688647570077,0.8281951696577619,22,4,3,"{""fn"":0.1648705501618123,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.3973840345199568}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":6,""fp"":0,""tn"":2,""tp"":22},""development_population_count"":1014,""f1"":0.88,""precision"":1.0,""recall"":0.7857142857142857,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
19,combined,0.5,0.55,0.2,0.5,120,42,0,25,53,0.7916666666666666,1.0,0.6794871794871795,0.8091603053435115,0.8351294498381876,1.0,0.7067688647570077,0.8281951696577619,22,4,3,"{""fn"":0.1648705501618123,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.3973840345199568}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":6,""fp"":0,""tn"":2,""tp"":22},""development_population_count"":1014,""f1"":0.88,""precision"":1.0,""recall"":0.7857142857142857,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
20,combined,0.5,0.55,0.3,0.5,120,42,0,25,53,0.7916666666666666,1.0,0.6794871794871795,0.8091603053435115,0.8351294498381876,1.0,0.7067688647570077,0.8281951696577619,22,4,3,"{""fn"":0.1648705501618123,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.3973840345199568}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":6,""fp"":0,""tn"":2,""tp"":22},""development_population_count"":1014,""f1"":0.88,""precision"":1.0,""recall"":0.7857142857142857,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
