schema_version,policy_id,metric,answered_eligible_n,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,minimum_n,status
phase06-policy-quality-ci-v1,G0,rouge_l_f1,89,0.19199381302512264,0.17215943324242378,0.21290724102067024,0.1797752808988764,0.1509433962264151,0.2222222222222222,10,ok
phase06-policy-quality-ci-v1,G0,bertscore_f1,89,0.8874577015973208,0.8823374815201491,0.8927277730589502,0.8863112926483154,0.8772040009498596,0.8905640840530396,10,ok
phase06-policy-quality-ci-v1,G0,unsupported_claim_rate,89,0.3012704707351105,0.2296813725490196,0.37313330763016805,0.25,0.0,0.3333333333333333,10,ok
phase06-policy-quality-ci-v1,G0,mean_claim_support_score,89,0.5281658652106743,0.4666770300599799,0.5888918318216263,0.492941011985143,0.43838804960250854,0.5881820106878877,10,ok
phase06-policy-quality-ci-v1,G0,output_token_count,89,81.30337078651685,73.76348314606741,88.53932584269663,86.0,70.0,103.0,10,ok
phase06-policy-quality-ci-v1,G1,rouge_l_f1,89,0.19912363883292,0.17723179414202303,0.22359653519360637,0.16923076923076924,0.14736842105263157,0.21176470588235297,10,ok
phase06-policy-quality-ci-v1,G1,bertscore_f1,89,0.8878614159112566,0.8823054050796487,0.8935529942927736,0.8813255429267883,0.8738307356834412,0.8879232406616211,10,ok
phase06-policy-quality-ci-v1,G1,unsupported_claim_rate,89,0.2770911360799001,0.20992353308364545,0.34750624219725335,0.2,0.0,0.25,10,ok
phase06-policy-quality-ci-v1,G1,mean_claim_support_score,89,0.49389690014594156,0.43698404849375166,0.5514617119518895,0.4893634617328644,0.37383975298143923,0.5926026128232479,10,ok
phase06-policy-quality-ci-v1,G1,output_token_count,89,79.3932584269663,72.04494382022472,86.5511235955056,83.0,74.0,90.0,10,ok
phase06-policy-quality-ci-v1,G2,rouge_l_f1,2,0.28205128205128205,,,0.28205128205128205,,,10,tiny_sample_guard_no_quality_inference
phase06-policy-quality-ci-v1,G2,bertscore_f1,2,0.9308756589889526,,,0.9308756589889526,,,10,tiny_sample_guard_no_quality_inference
phase06-policy-quality-ci-v1,G2,unsupported_claim_rate,2,0.0,,,0.0,,,10,tiny_sample_guard_no_quality_inference
phase06-policy-quality-ci-v1,G2,mean_claim_support_score,2,0.8946101069450378,,,0.8946101069450378,,,10,tiny_sample_guard_no_quality_inference
phase06-policy-quality-ci-v1,G2,output_token_count,2,21.0,,,21.0,,,10,tiny_sample_guard_no_quality_inference
phase06-policy-quality-ci-v1,G3,rouge_l_f1,16,0.221172141615343,0.165661772816171,0.2813160020796903,0.21725956682751651,0.11764705882352941,0.28125,10,ok
phase06-policy-quality-ci-v1,G3,bertscore_f1,16,0.8916858583688736,0.8757915426045656,0.9074878759682178,0.89195516705513,0.8646288514137268,0.9263283014297485,10,ok
phase06-policy-quality-ci-v1,G3,unsupported_claim_rate,16,0.27604166666666663,0.13020833333333331,0.44283854166666475,0.25,0.0,0.375,10,ok
phase06-policy-quality-ci-v1,G3,mean_claim_support_score,16,0.5728420995049721,0.4260682108272401,0.7085439977466496,0.7058786804166932,0.42777450382709503,0.7928206631913781,10,ok
phase06-policy-quality-ci-v1,G3,output_token_count,16,77.875,59.625,95.9375,81.0,48.0,112.0,10,ok
