candidate_order,family,T_cov,T_mean,T_min,T_contradiction,historically_evaluated_in_phase03_6b,new_phase03_6c_candidate,eligible_count,tn,fp,fn,tp,sample_accuracy,sample_precision,sample_recall,sample_f1,weighted_accuracy,weighted_precision,weighted_recall,weighted_f1,rescued_by_coverage,rescued_by_nli,rescue_mechanism_overlap,weighted_confusion_proportions_json,metrics_by_stratum_json
11,nli_only,,0.35,0.1,0.5,False,True,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
12,nli_only,,0.4,0.0,0.5,False,True,120,39,3,41,37,0.6333333333333333,0.925,0.47435897435897434,0.6271186440677966,0.7040453074433657,0.8767129558980619,0.5511310220448572,0.6768018283344721,0,10,0,"{""fn"":0.252378640776699,""fp"":0.043576051779935274,""tn"":0.3941693635382956,""tp"":0.30987594390507006}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.26666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":22,""fp"":0,""tn"":2,""tp"":6},""development_population_count"":1014,""f1"":0.35294117647058826,""precision"":1.0,""recall"":0.21428571428571427,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.7333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":3,""tn"":22,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":0.0,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
13,nli_only,,0.4,0.05,0.5,False,True,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
14,nli_only,,0.4,0.1,0.5,False,True,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
15,nli_only,,0.45,0.0,0.5,False,True,120,41,1,41,37,0.65,0.9736842105263158,0.47435897435897434,0.6379310344827586,0.7330960086299891,0.9552241287576483,0.5511310220448572,0.6989767985108221,0,8,0,"{""fn"":0.252378640776699,""fp"":0.014525350593311758,""tn"":0.4232200647249191,""tp"":0.30987594390507006}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.26666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":22,""fp"":0,""tn"":2,""tp"":6},""development_population_count"":1014,""f1"":0.35294117647058826,""precision"":1.0,""recall"":0.21428571428571427,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":1,""tn"":24,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":0.0,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
16,nli_only,,0.45,0.05,0.5,False,True,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
17,nli_only,,0.45,0.1,0.5,True,False,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
18,combined,0.2,0.3,0.0,0.5,False,True,120,36,6,18,60,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.8249352750809062,0.8854476530031464,0.7909671725408185,0.83554501649262,29,13,6,"{""fn"":0.11752966558791803,""fp"":0.057535059331175836,""tn"":0.3802103559870551,""tp"":0.44472491909385115}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.9666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":1,""tn"":1,""tp"":28},""development_population_count"":1014,""f1"":0.9824561403508771,""precision"":0.9655172413793104,""recall"":1.0,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.4666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":2,""tn"":13,""tp"":1},""development_population_count"":787,""f1"":0.1111111111111111,""precision"":0.3333333333333333,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.7666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":4,""fp"":3,""tn"":22,""tp"":1},""development_population_count"":2693,""f1"":0.22222222222222224,""precision"":0.25,""recall"":0.2,""sampling_stratum"":""wrong_document_retrieval""}]"
19,combined,0.2,0.3,0.05,0.5,False,True,120,40,2,19,59,0.825,0.9672131147540983,0.7564102564102564,0.8489208633093525,0.8582308522114348,0.9779180971064247,0.7651330557740642,0.858537583018482,29,5,3,"{""fn"":0.13205501618122978,""fp"":0.009714131607335492,""tn"":0.4280312837108954,""tp"":0.43019956850053936}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.9666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":1,""tn"":1,""tp"":28},""development_population_count"":1014,""f1"":0.9824561403508771,""precision"":0.9655172413793104,""recall"":1.0,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":1,""tn"":14,""tp"":1},""development_population_count"":787,""f1"":0.11764705882352941,""precision"":0.5,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
20,combined,0.2,0.3,0.1,0.5,False,True,120,40,2,19,59,0.825,0.9672131147540983,0.7564102564102564,0.8489208633093525,0.8582308522114348,0.9779180971064247,0.7651330557740642,0.858537583018482,29,5,3,"{""fn"":0.13205501618122978,""fp"":0.009714131607335492,""tn"":0.4280312837108954,""tp"":0.43019956850053936}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.9666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":1,""tn"":1,""tp"":28},""development_population_count"":1014,""f1"":0.9824561403508771,""precision"":0.9655172413793104,""recall"":1.0,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":1,""tn"":14,""tp"":1},""development_population_count"":787,""f1"":0.11764705882352941,""precision"":0.5,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
