metric,point_estimate,replicates,lower_95,upper_95,seed,resampling_unit
auroc,0.71883280656386683,1000,0.64596308980635231,0.78735111603524222,42,question_id
auprc,0.67455849856634753,1000,0.53992353622944422,0.78540182418669613,42,question_id
f1,0.50769230769230766,1000,0.39418266092179138,0.60876858345021034,42,question_id
brier,0.21381517245614362,1000,0.18954864997361823,0.23854214798894047,42,question_id
