model,probability_method,decision_threshold,accuracy,precision,recall,f1,auroc,auprc,brier,ece,selected_calibration
B3_random_forest,uncalibrated,0.5,0.6404494382022472,0.65346534653465349,0.41509433962264153,0.50769230769230766,0.71883280656386683,0.67455849856634753,0.21381517245614362,0.06336962935842004,True
B4_calibrated_random_forest,sigmoid,0.5,0.63857677902621723,0.65217391304347827,0.4088050314465409,0.50257731958762886,0.71883280656386683,0.67455849856634753,0.21730710702997219,0.079028980894536166,False
B4_calibrated_random_forest,isotonic,0.5,0.64138576779026213,0.68503937007874016,0.36477987421383645,0.47606019151846785,0.71877427662314164,0.66228548148905997,0.21778619104892852,0.071414319856206554,False
