threshold,answered_count,total_count,coverage,unsafe_answered_count,selective_risk
0.85466399037540275,0,1068,0,0,
0.85466399037540264,2,1068,0.0018726591760299626,0,0
0.85187121910129027,4,1068,0.0037453183520599251,0,0
0.84418169366667051,5,1068,0.0046816479400749065,0,0
0.8436262115204074,6,1068,0.0056179775280898875,0,0
0.84177369989705864,8,1068,0.0074906367041198503,0,0
0.8404066295717616,9,1068,0.0084269662921348312,0,0
0.83982221055736328,11,1068,0.010299625468164793,0,0
0.83475467625579625,13,1068,0.012172284644194757,0,0
0.83461474080957243,14,1068,0.013108614232209739,0,0
0.82725478139056052,16,1068,0.014981273408239701,0,0
0.82698965731877161,17,1068,0.015917602996254682,0,0
0.82317130659796345,18,1068,0.016853932584269662,0,0
0.81839232505117809,19,1068,0.017790262172284643,0,0
0.81287881608953472,20,1068,0.018726591760299626,0,0
0.81012186187984681,22,1068,0.020599250936329586,0,0
0.81007147065401519,23,1068,0.02153558052434457,0,0
0.80746671418606197,24,1068,0.02247191011235955,0,0
0.80267018752785668,25,1068,0.023408239700374533,0,0
0.80256410741187378,26,1068,0.024344569288389514,0,0
0.80153518158422776,27,1068,0.025280898876404494,0,0
0.79973274034695885,28,1068,0.026217228464419477,1,0.035714285714285712
0.79766470448995719,29,1068,0.027153558052434457,1,0.034482758620689655
0.79697400189105017,30,1068,0.028089887640449437,2,0.066666666666666666
0.79694427274511392,31,1068,0.029026217228464421,2,0.064516129032258063
0.7964023224098109,32,1068,0.029962546816479401,2,0.0625
0.792865059484681,33,1068,0.030898876404494381,2,0.060606060606060608
0.79142379822503828,35,1068,0.032771535580524341,2,0.057142857142857141
0.79098610118040935,36,1068,0.033707865168539325,3,0.083333333333333329
0.79051256535286307,37,1068,0.034644194756554308,3,0.081081081081081086
0.78893638005227795,38,1068,0.035580524344569285,3,0.078947368421052627
0.78651814734254621,39,1068,0.036516853932584269,3,0.076923076923076927
0.7853879219959824,41,1068,0.038389513108614229,3,0.073170731707317069
0.78463739190303183,42,1068,0.039325842696629212,4,0.095238095238095233
0.78426968636626637,44,1068,0.041198501872659173,4,0.090909090909090912
0.78384542512837085,46,1068,0.04307116104868914,4,0.086956521739130432
0.78351033366126055,47,1068,0.044007490636704123,5,0.10638297872340426
0.78288644899866233,49,1068,0.045880149812734083,5,0.10204081632653061
0.77834513215764423,50,1068,0.046816479400749067,6,0.12
0.77731359202309624,51,1068,0.047752808988764044,6,0.11764705882352941
0.77699494705426375,52,1068,0.048689138576779027,6,0.11538461538461539
0.77402983194509645,53,1068,0.049625468164794011,6,0.11320754716981132
0.77396008312427467,54,1068,0.050561797752808987,7,0.12962962962962962
0.77355455596825784,55,1068,0.051498127340823971,7,0.12727272727272726
0.77352262972944441,56,1068,0.052434456928838954,7,0.125
0.77172575247413711,57,1068,0.053370786516853931,7,0.12280701754385964
0.77062657773073817,58,1068,0.054307116104868915,8,0.13793103448275862
0.76870394528872454,59,1068,0.055243445692883898,8,0.13559322033898305
0.76797860614546842,60,1068,0.056179775280898875,8,0.13333333333333333
0.76739856015129215,61,1068,0.057116104868913858,8,0.13114754098360656
0.76353078635402549,62,1068,0.058052434456928842,9,0.14516129032258066
0.76339863296047838,63,1068,0.058988764044943819,9,0.14285714285714285
0.76289892866412501,64,1068,0.059925093632958802,9,0.140625
0.76050101399010139,65,1068,0.060861423220973786,9,0.13846153846153847
0.75884316970691257,67,1068,0.062734082397003746,9,0.13432835820895522
0.75820525367130198,68,1068,0.063670411985018729,9,0.13235294117647059
0.75798018296288872,69,1068,0.064606741573033713,9,0.13043478260869565
0.74904508338988685,70,1068,0.065543071161048683,9,0.12857142857142856
0.74866096927867387,71,1068,0.066479400749063666,9,0.12676056338028169
0.74769397400600335,72,1068,0.06741573033707865,9,0.125
0.74714229563911472,73,1068,0.068352059925093633,9,0.12328767123287671
0.74674504341833858,74,1068,0.069288389513108617,9,0.12162162162162163
0.74645728488180385,75,1068,0.0702247191011236,9,0.12
0.74587827995262779,76,1068,0.07116104868913857,9,0.11842105263157894
0.74275194154636093,77,1068,0.072097378277153554,9,0.11688311688311688
0.74243037036762816,78,1068,0.073033707865168537,10,0.12820512820512819
0.74238407750849078,79,1068,0.073970037453183521,10,0.12658227848101267
0.74140194785998681,80,1068,0.074906367041198504,10,0.125
0.74116564168950994,81,1068,0.075842696629213488,10,0.12345679012345678
0.74002031238871879,82,1068,0.076779026217228458,11,0.13414634146341464
0.73868011785706711,83,1068,0.077715355805243441,11,0.13253012048192772
0.73848778307914653,84,1068,0.078651685393258425,11,0.13095238095238096
0.73722438052954886,85,1068,0.079588014981273408,12,0.14117647058823529
0.73611731122880231,86,1068,0.080524344569288392,12,0.13953488372093023
0.73416371975540717,87,1068,0.081460674157303375,12,0.13793103448275862
0.73363546746196928,88,1068,0.082397003745318345,13,0.14772727272727273
0.7325555588884638,89,1068,0.083333333333333329,13,0.14606741573033707
0.7320202322257211,90,1068,0.084269662921348312,13,0.14444444444444443
0.73192727143526359,91,1068,0.085205992509363296,13,0.14285714285714285
0.73145152522159962,92,1068,0.086142322097378279,14,0.15217391304347827
0.73066015260450756,93,1068,0.087078651685393263,14,0.15053763440860216
0.72938037026994873,94,1068,0.088014981273408247,14,0.14893617021276595
0.72588438145195922,95,1068,0.088951310861423216,14,0.14736842105263157
0.7253781724181253,96,1068,0.0898876404494382,14,0.14583333333333334
0.72346734940864132,97,1068,0.090823970037453183,14,0.14432989690721648
0.7226641210324114,98,1068,0.091760299625468167,14,0.14285714285714285
0.71973861216560164,99,1068,0.09269662921348315,14,0.14141414141414141
0.71474362580605066,100,1068,0.093632958801498134,15,0.14999999999999999
0.71445443498895533,101,1068,0.094569288389513104,15,0.14851485148514851
0.71288592374001292,102,1068,0.095505617977528087,16,0.15686274509803921
0.71109168315473803,103,1068,0.096441947565543071,17,0.1650485436893204
0.70997653632898905,104,1068,0.097378277153558054,17,0.16346153846153846
0.70817913943651045,105,1068,0.098314606741573038,18,0.17142857142857143
0.706055189614333,107,1068,0.10018726591760299,18,0.16822429906542055
0.70449182077826356,108,1068,0.10112359550561797,19,0.17592592592592593
0.7040021437861026,109,1068,0.10205992509363296,20,0.1834862385321101
0.70330236478171637,110,1068,0.10299625468164794,20,0.18181818181818182
0.7032721407708975,111,1068,0.10393258426966293,21,0.1891891891891892
0.70012743082339945,112,1068,0.10486891385767791,21,0.1875
0.69858868788721673,113,1068,0.10580524344569288,22,0.19469026548672566
0.6943353812754911,115,1068,0.10767790262172285,22,0.19130434782608696
0.68931651242193281,116,1068,0.10861423220973783,22,0.18965517241379309
0.68437763580815369,117,1068,0.10955056179775281,23,0.19658119658119658
0.68031635982137184,118,1068,0.1104868913857678,24,0.20338983050847459
0.67917424527672843,119,1068,0.11142322097378277,24,0.20168067226890757
0.67796176854976375,120,1068,0.11235955056179775,24,0.20000000000000001
0.67598504231633572,121,1068,0.11329588014981273,25,0.20661157024793389
0.67063045087307693,122,1068,0.11423220973782772,25,0.20491803278688525
0.67061328002487552,123,1068,0.1151685393258427,26,0.21138211382113822
0.66967485804369753,124,1068,0.11610486891385768,26,0.20967741935483872
0.66802767402730412,125,1068,0.11704119850187265,26,0.20799999999999999
0.66710400453035945,126,1068,0.11797752808988764,26,0.20634920634920634
0.66566276371458888,127,1068,0.11891385767790262,27,0.2125984251968504
0.6654848891988222,128,1068,0.1198501872659176,28,0.21875
0.66375686564864356,129,1068,0.12078651685393259,28,0.21705426356589147
0.6635835850791344,130,1068,0.12172284644194757,29,0.22307692307692309
0.66178199437647867,131,1068,0.12265917602996254,29,0.22137404580152673
0.66158451074909763,132,1068,0.12359550561797752,30,0.22727272727272727
0.66102859915126888,133,1068,0.12453183520599251,30,0.22556390977443608
0.66094328782557032,134,1068,0.12546816479400749,30,0.22388059701492538
0.66076943455705717,135,1068,0.12640449438202248,31,0.22962962962962963
0.65980480821809595,136,1068,0.12734082397003746,32,0.23529411764705882
0.65959321926185033,137,1068,0.12827715355805244,33,0.24087591240875914
0.65921929180073935,139,1068,0.13014981273408241,33,0.23741007194244604
0.65908798470581098,140,1068,0.13108614232209737,34,0.24285714285714285
0.65875255943299327,141,1068,0.13202247191011235,35,0.24822695035460993
0.65852022540893074,142,1068,0.13295880149812733,35,0.24647887323943662
0.65834807742010881,143,1068,0.13389513108614232,35,0.24475524475524477
0.65606981856374436,144,1068,0.1348314606741573,35,0.24305555555555555
0.65400497284502368,145,1068,0.13576779026217228,35,0.2413793103448276
0.65383182539447537,147,1068,0.13764044943820225,35,0.23809523809523808
0.65282392801376776,148,1068,0.13857677902621723,36,0.24324324324324326
0.65143238378082857,149,1068,0.13951310861423222,36,0.24161073825503357
0.64994380166251176,151,1068,0.14138576779026218,36,0.23841059602649006
0.64694321981677572,152,1068,0.14232209737827714,36,0.23684210526315788
