k,y_suff_final,response_count,evaluable_grounding_count,mean_unsupported_claim_rate,fully_supported_response_rate,mean_rouge_l,mean_bertscore_f1,mean_claim_support_score
5,0,42,42,0.40595238095238095,0.38095238095238093,0.1652777348499227,0.8792840185619536,0.42535554739414405
5,1,47,47,0.2077249339452093,0.5319148936170213,0.21586775522423743,0.8947618438842448,0.6200389151743824
10,0,36,36,0.3351851851851852,0.4444444444444444,0.16512531448006226,0.8778191258509954,0.408663162044077
10,1,53,53,0.23763102725366878,0.49056603773584906,0.2222168402801441,0.8946825940653963,0.5517915147056986
