model,probability_method,decision_threshold,accuracy,precision,recall,f1,auroc,auprc,brier,ece,selected_model
B0_always_sufficient,constant,,0.446629213483146,0.446629213483146,1.0,0.6174757281553398,,,,,False
B1_idf_coverage_threshold,raw_feature,0.62,0.6301498127340824,0.5861344537815126,0.5849056603773584,0.5855194123819517,0.6803201055667295,0.600657287049318,0.2448840336137891,0.1419375662654536,False
B2_logistic_regression,uncalibrated,0.5,0.6544943820224719,0.6384615384615384,0.5220125786163522,0.5743944636678201,0.7058107815698083,0.6255539452440408,0.2198055784563578,0.0642641316867171,False
B3_random_forest,uncalibrated,0.5,0.6404494382022472,0.6534653465346534,0.4150943396226415,0.5076923076923076,0.7188328065638668,0.6745584985663475,0.2138151724561436,0.06336962935842,True
B4_calibrated_random_forest,sigmoid,0.5,0.6385767790262172,0.6521739130434782,0.4088050314465409,0.5025773195876287,0.7188328065638668,0.6745584985663475,0.2173071070299721,0.0790289808945361,False
B4_calibrated_random_forest,isotonic,0.5,0.6413857677902621,0.68503937007874,0.3647798742138364,0.4760601915184678,0.7187742766231416,0.6622854814890599,0.2177861910489285,0.0714143198562065,False
