schema_version,comparison_id,family_id,k,metric,outcome_type,direction,sufficient_n,insufficient_n,excluded_n,sufficient_mean,sufficient_mean_ci_low,sufficient_mean_ci_high,insufficient_mean,insufficient_mean_ci_low,insufficient_mean_ci_high,mean_difference,mean_difference_ci_low,mean_difference_ci_high,sufficient_median,insufficient_median,median_difference,median_difference_ci_low,median_difference_ci_high,test_name,statistic,p_raw,p_holm,reject_holm,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,sufficient_rate,insufficient_rate,risk_difference,risk_difference_ci_low,risk_difference_ci_high,risk_ratio,odds_ratio,bootstrap_replicates,valid_replicates,seed,status
phase06-sufficiency-association-v1,B_k5_rouge_l_f1_sufficient_minus_insufficient,B_sufficiency_association,5,rouge_l_f1,continuous,sufficient_minus_insufficient,47,42,0,0.21586775522423743,0.18826359773331602,0.24474406940656623,0.16527773484992273,0.13956257726940616,0.19348127598229356,0.050590020374314704,0.012579900056981827,0.08874499670168068,0.22556390977443605,0.14010339087006046,0.08546051890437559,0.025801801801801805,0.1125576713362973,Mann-Whitney U,1326.5,0.005333207610133438,0.03733245327093407,True,0.34397163120567376,0.11248647275259488,0.5610324214792298,,,,,,,,5000,5000,42,associational
phase06-sufficiency-association-v1,B_k5_bertscore_f1_sufficient_minus_insufficient,B_sufficiency_association,5,bertscore_f1,continuous,sufficient_minus_insufficient,47,42,0,0.8947618438842448,0.8875756240121634,0.9019740649892224,0.8792840185619536,0.8726685025160255,0.886123003140092,0.01547782532229125,0.005621447196650904,0.02522623808013207,0.8943021297454834,0.8726257979869843,0.021676331758499146,0.005192220211029053,0.03443469107151029,Mann-Whitney U,1349.0,0.0029679779161112586,0.02374382332889007,True,0.3667679837892604,0.13880373425966133,0.5862828956357773,,,,,,,,5000,5000,42,associational
phase06-sufficiency-association-v1,B_k5_unsupported_claim_rate_sufficient_minus_insufficient,B_sufficiency_association,5,unsupported_claim_rate,continuous,sufficient_minus_insufficient,47,42,0,0.2077249339452093,0.13243658574540926,0.2896241830065359,0.40595238095238095,0.29242266414141416,0.5197389165481271,-0.19822744700717165,-0.33673030763957074,-0.06097080403313877,0.0,0.3666666666666667,-0.3666666666666667,-0.5,0.0,Mann-Whitney U,711.5,0.01704136511363373,0.08520682556816865,False,-0.27912867274569403,-0.49797221016065996,-0.05607918810749,,,,,,,,5000,5000,42,associational
phase06-sufficiency-association-v1,B_k5_fully_supported_response_sufficient_minus_insufficient,B_sufficiency_association,5,fully_supported_response,binary,sufficient_minus_insufficient,47,42,0,,,,,,,,,,,,,,,Fisher exact,1.8465909090909092,0.20197169092475015,0.6059150727742504,False,,,,0.5319148936170213,0.38095238095238093,0.15096251266464034,-0.05707070707070705,0.3530634540401526,1.396276595744681,1.8465909090909092,5000,5000,42,associational
phase06-sufficiency-association-v1,B_k10_rouge_l_f1_sufficient_minus_insufficient,B_sufficiency_association,10,rouge_l_f1,continuous,sufficient_minus_insufficient,53,36,0,0.22221684028014413,0.18925142201619347,0.25883538404855505,0.1651253144800623,0.14283456078527487,0.18806843431586837,0.05709152580008184,0.01594224415459346,0.10053784140529258,0.20618556701030927,0.1542079207920792,0.05197764621823006,-0.01949319523714239,0.10026710499280875,Mann-Whitney U,1182.5,0.05664836971847125,0.226593478873885,False,0.23951781970649896,0.002671451355661892,0.4707913494551424,,,,,,,,5000,5000,42,associational
phase06-sufficiency-association-v1,B_k10_bertscore_f1_sufficient_minus_insufficient,B_sufficiency_association,10,bertscore_f1,continuous,sufficient_minus_insufficient,53,36,0,0.8946825940653963,0.8868089404540364,0.902913306728242,0.8778191258509954,0.8714778245220249,0.8846863791233448,0.01686346821440088,0.006361064271025094,0.027133140876879566,0.8907251358032227,0.8730940222740173,0.017631113529205322,0.0053479671478271484,0.03158646821975708,Mann-Whitney U,1277.0,0.00701907275687493,0.04211443654124958,True,0.3385744234800839,0.10306155522453937,0.556604023160627,,,,,,,,5000,5000,42,associational
phase06-sufficiency-association-v1,B_k10_unsupported_claim_rate_sufficient_minus_insufficient,B_sufficiency_association,10,unsupported_claim_rate,continuous,sufficient_minus_insufficient,53,36,0,0.23763102725366878,0.16032909070060772,0.3210932455609362,0.3351851851851852,0.21758101851851858,0.46390624999999974,-0.09755415793151642,-0.24837549483178142,0.04954000150099436,0.2,0.25,-0.04999999999999999,-0.4,0.25,Mann-Whitney U,841.0,0.3187215929181816,0.6374431858363632,False,-0.11844863731656184,-0.35581140350877194,0.11785786875725898,,,,,,,,5000,5000,42,associational
phase06-sufficiency-association-v1,B_k10_fully_supported_response_sufficient_minus_insufficient,B_sufficiency_association,10,fully_supported_response,binary,sufficient_minus_insufficient,53,36,0,,,,,,,,,,,,,,,Fisher exact,1.2037037037037037,0.8289345678525519,0.8289345678525519,False,,,,0.49056603773584906,0.4444444444444444,0.04612159329140464,-0.1695567746429814,0.2565659888357257,1.1037735849056605,1.2037037037037037,5000,5000,42,associational
