threshold,answered_count,total_count,coverage,unsafe_answered_count,selective_risk,record_type,risk_constraint
0.8546639903754027,0.0,1068.0,0.0,0.0,,curve,
0.8546639903754026,2.0,1068.0,0.0018726591760299,0.0,0.0,curve,
0.8518712191012902,4.0,1068.0,0.0037453183520599,0.0,0.0,curve,
0.8441816936666705,5.0,1068.0,0.0046816479400749,0.0,0.0,curve,
0.8436262115204074,6.0,1068.0,0.0056179775280898,0.0,0.0,curve,
0.8417736998970586,8.0,1068.0,0.0074906367041198,0.0,0.0,curve,
0.8404066295717616,9.0,1068.0,0.0084269662921348,0.0,0.0,curve,
0.8398222105573632,11.0,1068.0,0.0102996254681647,0.0,0.0,curve,
0.8347546762557962,13.0,1068.0,0.0121722846441947,0.0,0.0,curve,
0.8346147408095724,14.0,1068.0,0.0131086142322097,0.0,0.0,curve,
0.8272547813905605,16.0,1068.0,0.0149812734082397,0.0,0.0,curve,
0.8269896573187716,17.0,1068.0,0.0159176029962546,0.0,0.0,curve,
0.8231713065979634,18.0,1068.0,0.0168539325842696,0.0,0.0,curve,
0.818392325051178,19.0,1068.0,0.0177902621722846,0.0,0.0,curve,
0.8128788160895347,20.0,1068.0,0.0187265917602996,0.0,0.0,curve,
0.8101218618798468,22.0,1068.0,0.0205992509363295,0.0,0.0,curve,
0.8100714706540151,23.0,1068.0,0.0215355805243445,0.0,0.0,curve,
0.8074667141860619,24.0,1068.0,0.0224719101123595,0.0,0.0,curve,
0.8026701875278566,25.0,1068.0,0.0234082397003745,0.0,0.0,curve,
0.8025641074118737,26.0,1068.0,0.0243445692883895,0.0,0.0,curve,
0.8015351815842277,27.0,1068.0,0.0252808988764044,0.0,0.0,curve,
0.7997327403469588,28.0,1068.0,0.0262172284644194,1.0,0.0357142857142857,curve,
0.7976647044899571,29.0,1068.0,0.0271535580524344,1.0,0.0344827586206896,curve,
0.79697400189105,30.0,1068.0,0.0280898876404494,2.0,0.0666666666666666,curve,
0.7969442727451139,31.0,1068.0,0.0290262172284644,2.0,0.064516129032258,curve,
0.7964023224098109,32.0,1068.0,0.0299625468164794,2.0,0.0625,curve,
0.792865059484681,33.0,1068.0,0.0308988764044943,2.0,0.0606060606060606,curve,
0.7914237982250382,35.0,1068.0,0.0327715355805243,2.0,0.0571428571428571,curve,
0.7909861011804094,36.0,1068.0,0.0337078651685393,3.0,0.0833333333333333,curve,
0.790512565352863,37.0,1068.0,0.0346441947565543,3.0,0.081081081081081,curve,
0.788936380052278,38.0,1068.0,0.0355805243445692,3.0,0.0789473684210526,curve,
