k,context_group,n,mean_unsupported_claim_rate,ci_low,ci_high
5,insufficient,42,0.40595238095238095,0.29242266414141416,0.5197389165481271
5,sufficient,47,0.2077249339452093,0.13243658574540926,0.2896241830065359
10,insufficient,36,0.3351851851851852,0.21758101851851858,0.46390624999999974
10,sufficient,53,0.23763102725366878,0.16032909070060772,0.3210932455609362
