split,policy_id,policy_answer_coverage,unsupported_answer_population_rate
VALIDATION,G0,1.0,0.5393258426966292
VALIDATION,G1,1.0,0.5280898876404494
VALIDATION,G2,0.0224719101123595,0.0
VALIDATION,G3,0.1797752808988764,0.1011235955056179
TEST,G0,1.0,0.5340909090909091
TEST,G1,1.0,0.5795454545454546
TEST,G2,0.034090909090909,0.0113636363636363
TEST,G3,0.1590909090909091,0.0568181818181818
